Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8320090805902384,0.832004924672942,0.8320090805902384,0.8313809805711062
BiLSTM (Abstract only),0.8107264472190693,0.81456957597943,0.8107264472190693,0.8115630588299738
Decision Tree,0.6953745743473326,0.6957778390796195,0.6953745743473326,0.6955053944510332
